2022-06-21 14:27:17,Yellow,Convirtable,drive
2022-06-21 14:55:18,White,SUV,drive
2022-06-21 14:55:24,White,Coupe,drive
2022-06-21 14:58:22,White,SUV,drive
2022-06-21 14:58:25,Black,SUV,drive
2022-06-21 14:59:04,Green,Coupe,drive
2022-06-21 14:59:07,Blue,Truck,drive
2022-06-21 15:00:07,Grey,SUV,drive
2022-06-21 15:00:11,Yellow,SUV,drive
2022-06-21 15:00:14,Red,Bus,drive
2022-06-21 15:00:46,White,Truck,drive
2022-06-21 15:24:00,Blue,Truck,drive
2022-06-21 15:24:12,Black,Hatchback,drive
2022-06-21 15:30:04,Yellow,Bus,drive
2022-06-21 15:30:11,Blue,Bus,drive
